German,English
der,the
die,the
das,the
und,and
in,in
zu,to
mit,with
den,the
sich,itself
auf,on
für,for
ist,is
im,in the
des,of
nicht,not
ein,a
eine,one
dem,dem
als,as
auch,also
an,at
nach,after
wie,How
bei,at
wir,we
ihr,her
hat,has
aber,but
noch,still
mich,me
dich,you
uns,us
euch,you
sie,she
jetzt,now
hier,here
meine,mine
deine,your
seine,his
ihre,her
unser,our
euer,your
ihr,her
mein,my
dein,your
sein,be
ihr,her
unser,our
euer,your
wieder,again
schon,already
mal,just
über,above
da,there
nur,only
vor,before
durch,through
gut,good
viel,much
wenn,if
man,man
kann,can
mehr,more
haben,have
sei,be
würde,would
sein,be
werden,become
machen,make
sagen,say
geben,give
kommen,come
sollen,should
können,can
machen,make
wollen,want
müssen,must
sehen,see
lassen,let
stehen,stand
bringen,bring
halten,hold
finden,find
denken,think
nehmen,take
tun,do
sprechen,speak
gehen,go
leben,life
bleiben,remain
fühlen,feel
lieben,love
wissen,knowledge
setzen,set
legen,place
kommen,come
bringen,bring
gehen,go
nehmen,take
stehen,stand
halten,hold
machen,make
wollen,want
müssen,must
sagen,say
sehen,see
finden,find
denken,think
geben,give
können,can
sollen,should
wir,we
ihr,her
sie,she
er,he
es,it
du,you
ich,I
mich,me
dich,you
uns,us
euch,you
sich,itself
mir,me
dir,you
ihm,him
ihr,her
uns,us
euch,you
sich,itself
meinem,my
deinem,yours
seinem,his
ihrem,hers
unserem,ours
eurem,of your
ihrem,hers
meinen,mean
deinen,yours
seinen,his
ihren,your
unseren,ours
euren,yours
ihren,your
diese,this
dieses,this
jene,those
manche,some
solche,such
welche,which
kein,no
keine,no
kein,no
keiner,none
keine,no
keinem,none
keine,no
keines,none
alles,everything
nichts,nothing
viel,much
wenig,few
etwas,something
nichts,nothing
alles,everything
viele,many
einige,some
manche,some
wenige,few
alle,all
keine,no
beide,both
alle,all
beide,both
andere,other
jeder,everyone
